Course Start Date,Course Name,Course Provider,Country,Location,Virtual Classroom,Language,Link
1-Oct-2019,PCS,Westcon,US,Virtual,Yes,EN,https://academy.westconcomstor.com/na/vendors/PulseSecure
7-Oct-2019,vADC,DWWTC,US,Virtual,Yes,EN,https://www.dwwtc.com/PulseSecure
7-Oct-2019,PPS,Westcon,Italy,Agrate Brianza,Yes,IT,https://academy.westconcomstor.com/na/vendors/PulseSecure
7-Oct-2019,PCS,Westcon,Belgium,Vilvoorde,Yes,EN,https://academy.westconcomstor.com/na/vendors/PulseSecure
7-Oct-2019,PCS,Westcon,Germany,Berlin,Yes,EN,https://academy.westconcomstor.com/na/vendors/PulseSecure
14-Oct-2019,vADC,Nuvias,UK,Woking,Yes,EN,https://pages.nuvias.com/pulsesecure-training
20-Oct-2019,vADC,Spectrum,UAE,Dubai,Yes,EN,http://www.specnt.com/training-schedule
21-Oct-2019,PCS,Spectrum,India,Bengaluru,Yes,EN,http://www.specnt.com/training-schedule
27-Oct-2019,vADC,Spectrum,KSA,Riyadh,Yes,EN,http://www.specnt.com/training-schedule
28-Oct-2019,vADC,Spectrum,India,Mumbai,Yes,EN,http://www.specnt.com/training-schedule
28-Oct-2019,PPS,Westcon,Belgium,Vilvoorde,Yes,EN,https://academy.westconcomstor.com/na/vendors/PulseSecure
28-Oct-2019,PPS,Westcon,Germany,Berlin,Yes,EN,https://academy.westconcomstor.com/na/vendors/PulseSecure
4-Nov-2019,PPS,Spectrum,Singapore,Singapore,Yes,EN,http://www.specnt.com/training-schedule
4-Nov-2019,PPS,Spectrum,India,Bengaluru,Yes,EN,http://www.specnt.com/training-schedule
4-Nov-2019,PCS,Westcon,Italy,Milan,Yes,IT,https://academy.westconcomstor.com/na/vendors/PulseSecure
5-Nov-2019,PPS,DWWTC,US,Virtual,Yes,EN,https://www.dwwtc.com/PulseSecure
5-Nov-2019,PPS,Spectrum,UAE,Dubai,Yes,EN,http://www.specnt.com/training-schedule
5-Nov-2019,PCS,Spectrum,KSA,Riyadh,Yes,EN,http://www.specnt.com/training-schedule
11-Nov-2019,PCS,Spectrum,India,Mumbai,Yes,EN,http://www.specnt.com/training-schedule
11-Nov-2019,PPS,Westcon,UK,Crawley,Yes,EN,https://academy.westconcomstor.com/na/vendors/PulseSecure
17-Nov-2019,PPS,Spectrum,KSA,Riyadh,Yes,EN,http://www.specnt.com/training-schedule
18-Nov-2019,vADC,DWWTC,US,Virtual,Yes,EN,https://www.dwwtc.com/PulseSecure
18-Nov-2019,PCS,Spectrum,Singapore,Singapore,Yes,EN,http://www.specnt.com/training-schedule
18-Nov-2019,PCS,Westcon,France,Asnieres,Yes,FR,https://academy.westconcomstor.com/na/vendors/PulseSecure
19-Nov-2019,PPS,Westcon,US,Virtual,Yes,EN,https://academy.westconcomstor.com/na/vendors/PulseSecure
24-Nov-2019,PCS,Spectrum,UAE,Dubai,Yes,EN,http://www.specnt.com/training-schedule
25-Nov-2019,PPS,Westcon,France,Asnieres,Yes,FR,https://academy.westconcomstor.com/na/vendors/PulseSecure
1-Dec-2019,PCS,Spectrum,KSA,Riyadh,Yes,EN,http://www.specnt.com/training-schedule
2-Dec-2019,PPS,DWWTC,US,Virtual,Yes,EN,https://www.dwwtc.com/PulseSecure
2-Dec-2019,PPS,Spectrum,India,Mumbai,Yes,EN,http://www.specnt.com/training-schedule
2-Dec-2019,vADC,Spectrum,Singapore,Singapore,Yes,EN,http://www.specnt.com/training-schedule
3-Dec-2019,PPS,Westcon,US,Virtual,Yes,EN,https://academy.westconcomstor.com/na/vendors/PulseSecure
8-Dec-2019,vADC,Spectrum,KSA,Riyadh,Yes,EN,http://www.specnt.com/training-schedule
9-Dec-2019,vADC,Nuvias,France,Meudon,Yes,FR,https://pages.nuvias.com/pulsesecure-training
15-Dec-2019,vADC,Spectrum,UAE,Dubai,Yes,EN,http://www.specnt.com/training-schedule
16-Dec-2019,PCS,DWWTC,US,Virtual,Yes,EN,https://www.dwwtc.com/PulseSecure
16-Dec-2019,vADC,Spectrum,India,Bengaluru,Yes,EN,http://www.specnt.com/training-schedule
6-Jan-2020,PCS,DWWTC,US,Virtual,Yes,EN,https://www.dwwtc.com/PulseSecure
6-Jan-2020,PCS,Westcon,France,Asnieres,Yes,FR,https://academy.westconcomstor.com/na/vendors/PulseSecure
13-Jan-2020,PPS,Westcon,France,Asnieres,Yes,FR,https://academy.westconcomstor.com/na/vendors/PulseSecure
20-Jan-2020,PPS,DWWTC,US,Virtual,Yes,EN,https://www.dwwtc.com/PulseSecure
17-Feb-2020,PCS,DWWTC,US,Virtual,Yes,EN,https://www.dwwtc.com/PulseSecure
9-Mar-2020,PPS,DWWTC,US,Virtual,Yes,EN,https://www.dwwtc.com/PulseSecure
6-Jul-2020,PCS,Westcon,France,Asnieres,Yes,FR,https://academy.westconcomstor.com/na/vendors/PulseSecure
15-Jul-2020,PPS,Westcon,France,Asnieres,Yes,FR,https://academy.westconcomstor.com/na/vendors/PulseSecure
19-Oct-2020,PCS,Westcon,France,Asnieres,Yes,FR,https://academy.westconcomstor.com/na/vendors/PulseSecure
26-Oct-2020,PPS,Westcon,France,Asnieres,Yes,FR,https://academy.westconcomstor.com/na/vendors/PulseSecure
